date,os-se,count-nombre
2021-02-28,android,3
2021-02-28,ios,4
2021-03-07,android,3
2021-03-07,ios,3
2021-03-14,android,1
2021-03-14,ios,1
2021-03-21,android,1
2021-03-21,ios,0
2021-03-28,android,10
2021-03-28,ios,0
2021-04-04,android,4
2021-04-04,ios,0
2021-04-11,android,4
2021-04-11,ios,4
2021-04-18,android,3
2021-04-18,ios,4
2021-04-25,android,1
2021-04-25,ios,0
2021-05-02,android,12
2021-05-02,ios,7
2021-05-09,android,14
2021-05-09,ios,24
2021-05-16,android,16
2021-05-16,ios,20
2021-05-23,android,9
2021-05-23,ios,599836
2021-05-30,android,3
2021-05-30,ios,52856
2021-06-06,android,2
2021-06-06,ios,12056
2021-06-13,android,2
2021-06-13,ios,6893
2021-06-20,android,2
2021-06-20,ios,4847
2021-06-27,android,11
2021-06-27,ios,3859
2021-07-04,android,7
2021-07-04,ios,3167
2021-07-11,android,13
2021-07-11,ios,2680
2021-07-18,android,1
2021-07-18,ios,2342
2021-07-25,android,0
2021-07-25,ios,2116
2021-08-01,android,16
2021-08-01,ios,1904
2021-08-08,android,19
2021-08-08,ios,1780
2021-08-15,android,10
2021-08-15,ios,1623
2021-08-22,android,3
2021-08-22,ios,1480
2021-08-29,android,2
2021-08-29,ios,1388
2021-09-05,android,1
2021-09-05,ios,1279
2021-09-12,android,3
2021-09-12,ios,1190
2021-09-19,android,5
2021-09-19,ios,1137
2021-09-26,android,5
2021-09-26,ios,925
2021-10-03,android,3
2021-10-03,ios,894
2021-10-10,android,1
2021-10-10,ios,928
2021-10-17,android,1
2021-10-17,ios,892
2021-10-24,android,1
2021-10-24,ios,827
2021-10-31,android,2
2021-10-31,ios,763
2021-11-07,android,2
2021-11-07,ios,736
2021-11-14,android,1
2021-11-14,ios,691
2021-11-21,android,1
2021-11-21,ios,639
2021-11-28,android,0
2021-11-28,ios,596
2021-12-05,android,1
2021-12-05,ios,585
2021-12-12,android,1
2021-12-12,ios,545
2021-12-19,android,1
2021-12-19,ios,494
