date,count-nombre
2021-02-28,6
2021-03-07,3
2021-03-14,0
2021-03-21,0
2021-03-28,10
2021-04-04,4
2021-04-11,6
2021-04-18,7
2021-04-25,0
2021-05-02,14
2021-05-09,39
2021-05-16,36
2021-05-23,599846
2021-05-30,52858
2021-06-06,12058
2021-06-13,6895
2021-06-20,4849
2021-06-27,3871
2021-07-04,3175
2021-07-11,2685
2021-07-18,2342
2021-07-25,2116
2021-08-01,1913
2021-08-08,1800
2021-08-15,1633
2021-08-22,1484
2021-08-29,1390
2021-09-05,1279
2021-09-12,1192
2021-09-19,1142
2021-09-26,931
2021-10-03,897
2021-10-10,929
